UKPRN,HE provider,Country of HE provider,Academic Year,Region of HE provider,Days ratio of total net assets to total expenditure,Days ratio of total net assets to total expenditure excl. pension adjustment,Debt service ratio,External borrowing as a % of total income,General funds as a % of total income,Net cash inflow from operating activities as a % of total income,Net liquidity days,Net liquidity days excl. pension adjustment,Premises costs as a % of total costs,Premises costs as a % of total costs excl. pension adjustment,Ratio of current assets to current liabilities,Staff costs as a % of total income,Staff costs excl. pension adjustment as a % of total income,Surplus/(deficit) as a % of total income,Surplus/(deficit) excl. pension adjustment as a % of total income,Unrestricted reserves as a % of total income
10001282,University of Northumbria at Newcastle,England,2021/22,North East,290.0,309.0,8.5,0.153,,0.152,152.0,163.0,0.07,0.075,1.8,0.599,0.5379999999999999,0.001,0.062,0.7859999999999999
10001282,University of Northumbria at Newcastle,England,2022/23,North East,383.0,390.0,3.9,0.124,,0.059,130.0,133.0,0.084,0.085,1.9,0.55,0.532,0.033,0.052000000000000005,0.977
10001282,University of Northumbria at Newcastle,England,2023/24,North East,341.0,332.0,1.3,0.116,,0.02,109.0,106.0,0.058,0.056,1.6,0.547,0.575,0.025,-0.003,0.898
10001386,Chicken Shed Theatre Company,England,2018/19,London,212.0,212.0,,0.028,,0.04,19.0,19.0,0.065,0.065,0.9,0.708,0.708,-0.06,-0.06,-0.08900000000000001
10001386,Chicken Shed Theatre Company,England,2019/20,London,262.0,262.0,,0.035,,0.079,44.0,44.0,0.076,0.076,2.2,0.5479999999999999,0.5479999999999999,0.099,0.099,0.002
10001386,Chicken Shed Theatre Company,England,2020/21,London,377.0,377.0,160.5,0.037000000000000005,,0.192,123.0,123.0,0.085,0.085,2.4,0.618,0.618,0.129,0.129,0.117
10001386,Chicken Shed Theatre Company,England,2021/22,London,420.0,420.0,157.5,0.006,,0.163,180.0,180.0,0.07400000000000001,0.07400000000000001,4.6,0.575,0.575,0.172,0.172,0.28800000000000003
10001386,Chicken Shed Theatre Company,England,2022/23,London,441.0,441.0,40.5,0.004,,0.041,163.0,163.0,0.059,0.059,7.4,0.586,0.586,0.124,0.124,0.394
10001386,Chicken Shed Theatre Company,England,2023/24,London,433.0,433.0,0.0,0.002,,0.111,189.0,189.0,0.08800000000000001,0.08800000000000001,4.8,0.629,0.629,0.041,0.041,0.428
10001419,Christie's Education Limited,England,2019/20,London,112.0,112.0,,0.0,,-0.916,90.0,90.0,0.177,0.177,0.8,0.8,0.8,-1.669,-1.669,-2.897
10001444,National Centre for Circus Arts,England,2021/22,London,442.0,442.0,-4.1,0.07,,-0.021,105.0,105.0,0.104,0.104,1.3,0.6809999999999999,0.6809999999999999,-0.049,-0.049,0.204
10001444,National Centre for Circus Arts,England,2023/24,London,422.0,422.0,0.2,0.049,,0.003,89.0,89.0,0.079,0.079,1.5,0.629,0.629,0.026,0.026,0.211
10001444,National Centre for Circus Arts,England,2024/25,London,418.0,418.0,-6.6,0.046,,-0.117,48.0,48.0,0.099,0.099,1.1,0.727,0.727,-0.106,-0.106,0.17
10001478,"City St George's, University of London",England,2015/16,London,456.0,,,0.0,0.0,0.119,70.0,,0.078,,1.0,0.546,,0.055,,1.12
10001478,"City St George's, University of London",England,2016/17,London,448.0,,,0.266,,0.11,166.0,,0.077,,2.1,0.5760000000000001,,0.025,,1.134
